Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate ,Concrete compressive strength
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1040.0 ,79.99 
540.0 ,0.0 ,0.0 ,162.0 ,2.5 ,1055.0 ,61.89 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,40.27 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,41.05 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,44.30 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,47.03 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,43.70 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,36.45 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,45.85 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,39.29 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,38.07 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,28.02 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,43.01 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,42.33 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,47.81 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,52.91 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,39.36 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,56.14 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,40.56 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,42.62 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,41.84 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,28.24 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,8.06 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,44.21 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,52.52 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,53.30 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,41.15 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,52.12 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,37.43 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,38.60 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,55.26 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,52.91 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,41.72 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,42.13 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,53.69 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,38.41 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,30.08 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,37.72 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,42.23 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,36.25 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,50.46 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,43.70 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,39.00 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,53.10 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,41.54 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,932.0 ,35.08 
349.0 ,0.0 ,0.0 ,192.0 ,0.0 ,1047.0 ,15.05 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,40.76 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,26.26 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,932.0 ,32.82 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,39.78 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,46.93 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,932.0 ,33.12 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,49.19 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,14.59 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,14.64 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,932.0 ,41.93 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,978.4 ,9.13 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,50.95 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,33.02 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,932.0 ,54.38 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,51.73 
310.0 ,0.0 ,0.0 ,192.0 ,0.0 ,971.0 ,9.87 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,50.66 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,932.0 ,48.70 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,932.0 ,55.06 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,1047.0 ,44.70 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,932.0 ,30.28 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,932.0 ,40.86 
485.0 ,0.0 ,0.0 ,146.0 ,0.0 ,1120.0 ,71.99 
374.0 ,189.2 ,0.0 ,170.1 ,10.1 ,926.1 ,34.40 
313.3 ,262.2 ,0.0 ,175.5 ,8.6 ,1046.9 ,28.80 
425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,33.40 
425.0 ,106.3 ,0.0 ,151.4 ,18.6 ,936.0 ,36.30 
375.0 ,93.8 ,0.0 ,126.6 ,23.4 ,852.1 ,29.00 
475.0 ,118.8 ,0.0 ,181.1 ,8.9 ,852.1 ,37.80 
469.0 ,117.2 ,0.0 ,137.8 ,32.2 ,852.1 ,40.20 
425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,33.40 
388.6 ,97.1 ,0.0 ,157.9 ,12.1 ,852.1 ,28.10 
531.3 ,0.0 ,0.0 ,141.8 ,28.2 ,852.1 ,41.30 
425.0 ,106.3 ,0.0 ,153.5 ,16.5 ,852.1 ,33.40 
318.8 ,212.5 ,0.0 ,155.7 ,14.3 ,852.1 ,25.20 
401.8 ,94.7 ,0.0 ,147.4 ,11.4 ,946.8 ,41.10 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,35.30 
323.7 ,282.8 ,0.0 ,183.8 ,10.3 ,942.7 ,28.30 
379.5 ,151.2 ,0.0 ,153.9 ,15.9 ,1134.3 ,28.60 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,35.30 
286.3 ,200.9 ,0.0 ,144.7 ,11.2 ,1004.6 ,24.40 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,35.30 
439.0 ,177.0 ,0.0 ,186.0 ,11.1 ,884.9 ,39.30 
389.9 ,189.0 ,0.0 ,145.9 ,22.0 ,944.7 ,40.60 
362.6 ,189.0 ,0.0 ,164.9 ,11.6 ,944.7 ,35.30 
