Cement,Fly Ash,Water,Superplasticizer,Concrete compressive strength
540.0 ,0.0 ,162.0 ,2.5 ,79.99 
540.0 ,0.0 ,162.0 ,2.5 ,61.89 
332.5 ,0.0 ,228.0 ,0.0 ,40.27 
332.5 ,0.0 ,228.0 ,0.0 ,41.05 
198.6 ,0.0 ,192.0 ,0.0 ,44.30 
266.0 ,0.0 ,228.0 ,0.0 ,47.03 
380.0 ,0.0 ,228.0 ,0.0 ,43.70 
380.0 ,0.0 ,228.0 ,0.0 ,36.45 
266.0 ,0.0 ,228.0 ,0.0 ,45.85 
475.0 ,0.0 ,228.0 ,0.0 ,39.29 
198.6 ,0.0 ,192.0 ,0.0 ,38.07 
198.6 ,0.0 ,192.0 ,0.0 ,28.02 
427.5 ,0.0 ,228.0 ,0.0 ,43.01 
190.0 ,0.0 ,228.0 ,0.0 ,42.33 
304.0 ,0.0 ,228.0 ,0.0 ,47.81 
380.0 ,0.0 ,228.0 ,0.0 ,52.91 
139.6 ,0.0 ,192.0 ,0.0 ,39.36 
342.0 ,0.0 ,228.0 ,0.0 ,56.14 
380.0 ,0.0 ,228.0 ,0.0 ,40.56 
475.0 ,0.0 ,228.0 ,0.0 ,42.62 
427.5 ,0.0 ,228.0 ,0.0 ,41.84 
139.6 ,0.0 ,192.0 ,0.0 ,28.24 
139.6 ,0.0 ,192.0 ,0.0 ,8.06 
139.6 ,0.0 ,192.0 ,0.0 ,44.21 
380.0 ,0.0 ,228.0 ,0.0 ,52.52 
380.0 ,0.0 ,228.0 ,0.0 ,53.30 
380.0 ,0.0 ,228.0 ,0.0 ,41.15 
342.0 ,0.0 ,228.0 ,0.0 ,52.12 
427.5 ,0.0 ,228.0 ,0.0 ,37.43 
475.0 ,0.0 ,228.0 ,0.0 ,38.60 
304.0 ,0.0 ,228.0 ,0.0 ,55.26 
266.0 ,0.0 ,228.0 ,0.0 ,52.91 
198.6 ,0.0 ,192.0 ,0.0 ,41.72 
475.0 ,0.0 ,228.0 ,0.0 ,42.13 
190.0 ,0.0 ,228.0 ,0.0 ,53.69 
237.5 ,0.0 ,228.0 ,0.0 ,38.41 
237.5 ,0.0 ,228.0 ,0.0 ,30.08 
332.5 ,0.0 ,228.0 ,0.0 ,37.72 
475.0 ,0.0 ,228.0 ,0.0 ,42.23 
237.5 ,0.0 ,228.0 ,0.0 ,36.25 
342.0 ,0.0 ,228.0 ,0.0 ,50.46 
427.5 ,0.0 ,228.0 ,0.0 ,43.70 
237.5 ,0.0 ,228.0 ,0.0 ,39.00 
380.0 ,0.0 ,228.0 ,0.0 ,53.10 
427.5 ,0.0 ,228.0 ,0.0 ,41.54 
